Lemma,Discriminator,Dialect,Supertype,Morphotype,Features,Sememe,Definition,Examples,Synonyms,Gloss,Frequency,Etymology,Etymological notes
sonul,,,VI,,,vizume ,,,,,,,
spel,,,VUA,,,wehavi ,,,,,,,
spel,,,VT,,,yogesu 21,,,,,,,
spenu,,,VT,,,gebuze ,,,,,,,
spie,,,VI_va_fo,,,wasaki ,,,,,,,
spoul,,,VI,,,ruqume ,,,,,,,
spua,,,VT,,,virume ,,,,,,,
srai,,,VUA,,,mapiru ,,,,,,,
srai,,,VT,,,fadopa ,,,,,,,
sre,,,VI_va_fo,,,bopiti ,,,,,,,
sre,,,VI_vo,,,duweve ,,,,,,,
srei,,,VT,,,nutida 21,,,,,,,
srei,,,VUA,,,guveho ,,,,,,,
sri,,,VT,,,vineje ,,,,,,,
sru,,,VI_va_fo,,,bopiti 213,,,,,,,
sru,,,VI_vo,,,buroza ,,,,,,,
srui,,,VT,,,nutida ,,,,,,,
srui,,,VUA,,,wacimo ,,,,,,,
stan,,,VI,,,jitoke ,,,,,,,
stini,,,VI,,,viquha ,,,,,,,
sufkun,,,VI,,,kikipa ,,,,,,,
suier,,,VI,,,mizohu ,,,,,,,
suna,,,VI_va_fo,,,nilupe ,,,,,,,
suna,,,VT,,,nizido ,,,,,,,
sunai,,,VI_P0,,,losayu ,,,,,,,
sune,,,VT/2,,,kenoyi ,,,,,,,
sunu,,,VT/2,,,kojoma ,,,,,,,
sura,,,VUA,,,mihaco ,,,,,,,
sura,,,VT,,,yuluno ,,,,,,,
ta jie,,,VI,,,jicili ,,,,,,,
taktin,,,VUA,,,focowu ,,,,,,,
taktin,,,VT,,,reyaru ,,,,,,,
tari,,,VT_P0,,,jomeli ,,,,,,,
tca,,,VT_P1,,,yovilu ,,,,,,,
tcahe,,,VT,,,fupare ,,,,,,,
tcahi,,,VT_P1,,,huseli ,,,,,,,
tcai,,,VT_P0,,,hemora ,,,,,,,
tce,,,VT_P1,,,fahovo ,,,,,,,
tceai,,,VT_P1,,,husosi ,,,,,,,
tcehi,,,VT_P1,,,puvaba ,,,,,,,
tceoi,,,VT_P1,,,qejefe ,,,,,,,
tcero,,,VI_va_fo_R2,,,woqire ,,,,,,,
tcia,,,VT,,,vapebu 21,,,,,,,
tcihe,,,VT,,,viqeyu ,,,,,,,
tco,,,VT_P1,,,zuqefe ,,,,,,,
tcohi,,,VT_P1,,,darojo ,,,,,,,
tconi,,,VT_P1,,,kowasu ,,,,,,,
tcori,,,VT_R2,,,josuma ,,,,,,,
tcu,,,VT_P1,,,hepusa ,,,,,,,
tcuan,,,VI,,,tewesa ,,,,,,,
tcuha,,,VT,,,gevufu ,,,,,,,
tcuhe,,,VT,,,vitaya ,,,,,,,
tcuhi,,,VT_P1,,,talipe ,,,,,,,
tcuho,,,VD,,,yatofu ,,,,,,,
tcuin,,,VI,,,tiliva ,,,,,,,
te jie,,,VI,,,gosiwi ,,,,,,,
tea jie,,,VI,,,piname ,,,,,,,
tei jie,,,VI,,,yogemi ,,,,,,,
teo jie,,,VI,,,rawoze ,,,,,,,
teonin,,,VI,,,belaya ,,,,,,,
teu jie,,,VI,,,tuhewa ,,,,,,,
ti jie,,,VI,,,deneyu ,,,,,,,
tia jie,,,VI,,,kumozi ,,,,,,,
tian,,,VUA,,,humegu ,,,,,,,
tian,,,VT,,,cucogo ,,,,,,,
tie jie,,,VI,,,zohoki ,,,,,,,
tio jie,,,VI,,,kizinu ,,,,,,,
tiu jie,,,VI,,,qafaho ,,,,,,,
to jie,,,VI,,,royomi ,,,,,,,
toril,,,VI,,,daliwe ,,,,,,,
toro,,,VT,,,bobiqa ,,,,,,,
trai,,,VT_P0,,,buqije ,,,,,,,
treun,,,VI,,,lukaso ,,,,,,,
tsae,,,VT,,,memoku ,,,,,,,
tsau,,,VT,,,safize 21,,,,,,,
tsir,,,VI,,,dufiqa ,,,,,,,
tsiu,,,VT,,,fazaye ,,,,,,,
tsui,,,VT_P1,,,mequza ,,,,,,,
tu jie,,,VI,,,punuza ,,,,,,,
vahul,,,VI,,,lumica ,,,,,,,
vain,,,VI,,,yogije ,,,,,,,
valai,,,VT_P0,,,gezavo ,,,,,,,
valoi,,,VT_P0,,,quzapa ,,,,,,,
van,,,VI,,,jecudi ,,,,,,,
vania,,,VI_va_fo,,,jogavu 132,,,,,,,
vaun,,,VI,,,miqimi ,,,,,,,
vele,,,VT,,,yelepu ,,,,,,,
vihon,,,VI,,,yolase ,,,,,,,
vini,,,VT_P0,,,gazogi ,,,,,,,
vire,,,VT,,,wacuda ,,,,,,,
viru,,,VT,,,zapiyo ,,,,,,,
virun,,,VI,,,jovonu ,,,,,,,
vle,,,,,,zarowi ,,,,,,,
vlu,,,,,,berogo ,,,,,,,
vogbi,,,VT,,,qogopu ,,,,,,,
vola,,,VUA,,,wakovi ,,,,,,,
vola,,,VT,,,wakudo ,,,,,,,
von,,,VT,,,tacono ,,,,,,,
von,,,VUA,,,yimavi ,,,,,,,
vriai,,,VT_P0,,,savaye ,,,,,,,
vune,,,VT,,,payito 21,,,,,,,
vune,,,VI,,,luyini ,,,,,,,
za,,,PRT,,,gavuyu ,,,,,,,
zailu,,,VT,,,pinole ,,,,,,,
zaro,,,VI_va_fo,,,cofife ,,,,,,,
zbui,,,VI,,,tapuki ,,,,,,,
zdir,,,VT,,,canuwa 21,,,,,,,
zdir,,,VI_SJV,,,canuwa ,,,,,,,
zear,,,VI,,,vijutu ,,,,,,,
zekta,,,VI,,,lehaco ,,,,,,,
zerai,,,VT_P1,,,gameke ,,,,,,,
zgai,,,VT_P0,,,huhowo ,,,,,,,
zgehal,,,VI,,,cavoyo ,,,,,,,
zguhi,,,VT_P1,,,cebuni ,,,,,,,
zi,,,PRT,,,maruhe ,,,,,,,
zigmo,,,VT,,,pawimo ,,,,,,,
zihir,,,VI,,,fuqeva ,,,,,,,
zihur,,,VI,,,benala ,,,,,,,
zin,,,VI,,,nugopo ,,,,,,,
zino,,,VI_va_fo,,,golapu 321,,,,,,,
zino,,,VT,,,yevato 21,,,,,,,
zinul,,,VI,,,yiquvo ,,,,,,,
zipfi,,,VT_P0,,,wuwoga ,,,,,,,
zlier,,,VI,,,copika ,,,,,,,
zlior,,,VI,,,maqawo ,,,,,,,
zmaear,,,VI,,,cefazi ,,,,,,,
zmahar,,,VI,,,ralija ,,,,,,,
zmaoar,,,VI,,,rubuho ,,,,,,,
zmaor,,,VI,,,fefaze ,,,,,,,
zmar,,,VI,,,fegovi ,,,,,,,
zmeaer,,,VI,,,jigeho ,,,,,,,
zmear,,,VI,,,putovo ,,,,,,,
