Lemma,Discriminator,Dialect,Supertype,Morphotype,Features,Sememe,Definition,Examples,Synonyms,Gloss,Frequency,Etymology,Etymological notes
titanyum,,,N,,,darome ,,,,,,,
titre,,,VI,,,hakoje ,,,,,,,
tişört,,,N,,,bakimi ,,,,,,,
tohum,,,N,,,dorawo ,,,,,,,
top,,,N,,,tomano ,,,,,,,
toprak,,,N,,,zorace ,,,,,,,
topuk,,,N,,,jizodi ,,,,,,,
toz,,,N,,,fipayi ,,,,,,,
tren,,,N,,,tewesa ,,,,,,,
turta,,,N,,,nebido ,,,,,,,
tuvalet,,,N,,,vuvifo ,,,,,,,
tuzlu,,,AN,,,tikaji ,,,,,,,
tuğla,,,N,,,fayeru ,,,,,,,
tükürük,,,N,,,gekoto ,,,,,,,
tümen,,,N,,,toluko ,,,,,,,
tüp,,,N,,,mokeni ,,,,,,,
tüy,,,N,,,lideyo ,,,,,,,
tırnak,,,N,,,cakuqo ,,,,,,,
ufuk,,,N,,,wetafu ,,,,,,,
un,,,N,,,bopevo ,,,,,,,
us,,,N,,,tehuwe ,,,,,,,
uydu,,,N,,,mohoje ,,,,,,,
uyuşuk,,,AN,,,gusiye ,,,,,,,
uzo,,,N,,,ticugo ,,,,,,,
uç,,,VI,,,zeduyu ,,,,,,,
uçak,,,N,,,weyake ,,,,,,,
vadi,,,N,,,rolani ,,,,,,,
vanadyum,,,N,,,cebate ,,,,,,,
var,,,AN,,,tiragu ,,,,,,,
varlık felsefesi,,,N,,,cazube ,,,,,,,
varlıklı,,,AN,,,sonibe ,,,,,,,
vasıta,,,N,,,tuhoyo ,,,,,,,
ve,,,COO,,,talage ,,,,,,,
ventilatör,,,N,,,suhifu ,,,,,,,
veya,,,COO,,,zarowi ,,,,,,,
video,,,N,,,vetibo ,,,,,,,
virüs,,,N,,,nabupa ,,,,,,,
vitamin,,,N,,,vobuzu ,,,,,,,
vodka,,,N,,,naluri ,,,,,,,
volkan,,,N,,,hotuna ,,,,,,,
vücüt,,,N,,,tezoze ,,,,,,,
weekly,,,AV,,,baziso ,,,,,,,
yada,,,COO,,,qolevo ,,,,,,,
yalak,,,N,,,cesawo ,,,,,,,
yalış,,,AN,,,maruhe ,,,,,,,
yan,,,VI,,,kalubi ,,,,,,,
yanak,,,N,,,vifeye ,,,,,,,
yanardağ,,,N,,,hotuna ,,,,,,,
yaprak,,,N,,,miqadu ,,,,,,,
yarar,,,N,,,gudajo ,,,,,,,
yarın,,,N,,,tageha ,,,,,,,
yastık,,,N,,,dodemu ,,,,,,,
yatak,,,N,,,dufiqa ,,,,,,,
yatak odası,,,N,,,zoyofi ,,,,,,,
yavaş,,,AN,,,koheju ,,,,,,,
yay,,,N,,,jopoca ,,,,,,,
yağ,,,N,,,bofecu ,,,,,,,
yağmur suyu,,,N,,,lefame ,,,,,,,
yaşa,,,VI,,,kubudi ,,,,,,,
yaşamak,,,VI,,,yogije ,,,,,,,
yedi,,,AN,,,zazabo ,,,,,,,
yedigen,,,N,,,yisudi ,,,,,,,
yer,,,N,,,fosuhu ,,,,,,,
yeşil,,,AN,,,ralija ,,,,,,,
